LR,RF,KN,SVM
0.5,0.2857142857142857,0.3333333333333333,0.42857142857142855
0.6666666666666666,0.16666666666666666,0.25,0.3333333333333333
0.6363636363636364,0.42857142857142855,0.5,0.8
0.7,0.4,0.3,0.3
0.7272727272727273,1.0,0.5,0.8333333333333334
0.5882352941176471,0.35294117647058826,0.11764705882352941,0.35294117647058826
0.7272727272727273,0.6666666666666666,0.8333333333333334,0.75
0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333
0.5384615384615384,0.5454545454545454,0.8,0.5454545454545454
0.8,0.4,0.2,0.4
