LR,RF,KN,SVM
0.6666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333
0.6666666666666666,0.5,0.6,0.6666666666666666
0.5,0.21428571428571427,0.07142857142857142,0.2857142857142857
0.4375,0.36363636363636365,0.42857142857142855,0.375
0.6666666666666666,0.25,0.16666666666666666,0.4166666666666667
0.5882352941176471,0.8571428571428571,0.6666666666666666,0.8571428571428571
0.5,0.375,0.3125,0.375
1.0,0.6666666666666666,0.5,1.0
0.5833333333333334,0.5,0.3333333333333333,0.5
0.6153846153846154,0.4,0.5,0.6666666666666666
